X,Y,Z,Type
Timestamp: ,1815278595519655,Fast
1.8923929,1.0863719,-0.2663989,Fast
-0.54680157,0.4966178,0.6649518,Fast
-1.6969743,1.6196609,-1.5433483,Fast
-0.7409459,0.66504145,-0.0016741753,Fast
-1.3513253,-1.0747528,0.79880476,Fast
-0.83998805,-1.2251625,1.3496976,Fast
0.042771578,0.1703291,0.62906456,Fast
0.013463736,1.9762521,0.710948,Fast
2.1780057,1.2883945,0.08106613,Fast
0.90133834,-0.34359455,0.9023571,Fast
1.5368602,-0.5908098,-0.54264593,Fast
2.804634,-1.9439528,-1.8919826,Fast
-1.1373267,0.52578115,0.056954384,Fast
-0.5991497,-0.65200186,1.2456894,Fast
0.7528599,-0.29685402,0.45510244,Fast
-0.4205253,0.07194376,0.6422367,Fast
2.274261,0.10110998,-0.1159153,Fast
0.934802,-0.40336752,0.24658442,Fast
0.20000267,0.04304838,0.28411913,Fast
0.1013754,0.11990023,0.1873002,Fast
-0.40827298,-0.17749548,0.2855668,Fast
-0.61116993,-0.072062016,0.22294474,Fast
-0.53973234,-0.08224487,0.08099604,Fast
0.5770159,-0.26245737,-0.09072161,Fast
1.1464813,0.9790797,-0.14704847,Fast
1.1320767,1.0087543,0.054236412,Fast
0.96339893,0.660861,0.043510914,Fast
0.5707648,0.7431121,0.16993427,Fast
0.5823841,0.14598608,0.20860052,Fast
0.13404465,0.1164968,0.04309559,Fast
-0.5437808,-0.016271353,-0.12230492,Fast
0.3984437,-0.27972364,0.38869715,Fast
0.33504868,-0.079265594,0.48342323,Fast
-0.5711365,-0.4165578,0.8332572,Fast
1.0810957,0.3017969,-0.9924784,Fast
1.4617696,1.2423282,-1.5971141,Fast
-1.1387076,1.6802298,-0.9586868,Fast
-1.2075257,0.9867916,0.29668427,Fast
-0.76361537,-1.3188605,1.1894932,Fast
-0.5852754,-2.1365585,0.548151,Fast
-1.2552369,-1.3987975,0.5175657,Fast
0.35407805,-0.2494272,0.19612217,Fast
-0.027879477,0.16010392,-1.9695392,Fast
0.5781088,1.6835508,-0.9459729,Fast
0.8378854,0.7050961,-0.17908144,Fast
0.15314913,0.8780166,2.8512917,Fast
0.024811745,-4.0750246,3.847313,Fast
-2.4628088,-11.631627,0.35389853,Fast
-1.0742441,-6.962872,-0.36498857,Fast
2.644201,-5.897091,-3.5010006,Fast
-0.511883,2.619905,0.017620087,Fast
-2.2480516,8.924157,7.936471,Fast
-1.3108625,2.8679028,2.1754537,Fast
2.9487529,-3.8396637,-2.8816893,Fast
-1.0994673,0.9467702,0.62785006,Fast
-0.28337383,-2.720479,3.066717,Fast
0.27465987,0.9122391,3.8479235,Fast
-0.08030081,0.061528206,0.22781086,Fast
0.42850268,-0.18814564,0.4430368,Fast
-0.5852188,0.040873528,1.4846896,Fast
0.4587366,-0.26980305,1.9047105,Fast
2.856911,2.1273184,-1.4995391,Fast
3.241895,0.53696823,-3.3726778,Fast
0.31001854,2.275803,-1.6991136,Fast
-0.42812014,-0.8727722,0.37507772,Fast
-2.0665615,-1.2807555,2.1344018,Fast
0.21379197,2.4986982,0.27824378,Fast
0.14523655,-0.22520351,-0.062520504,Fast
-0.7807276,-0.20167637,1.7965841,Fast
-1.0150496,-0.1666851,2.8187342,Fast
2.8211772,-0.28824234,-0.35116577,Fast
2.3222408,1.3770466,-3.633741,Fast
-1.0851774,2.5370193,-2.4612865,Fast
-0.39142013,0.14608622,-0.9797535,Fast
-2.236277,-1.3829803,1.1704268,Fast
-0.4320345,1.685894,2.2633445,Fast
-0.539726,-0.6717138,-0.24973345,Fast
-0.07319857,0.20146179,0.24398994,Fast
-0.79578274,-0.030391693,1.8226671,Fast
-0.7060205,-0.35178757,2.1085334,Fast
2.0306082,1.1477175,-1.0632714,Fast
2.159644,0.5958605,-3.6696029,Fast
-0.04592085,2.3633614,-2.3531039,Fast
-0.78753424,-0.438478,-0.7106919,Fast
-2.5836222,-1.4864883,1.2589927,Fast
-0.5879071,0.8683243,1.5336366,Fast
0.5604526,0.8011074,0.6223922,Fast
-0.24543938,-0.24653149,1.7173363,Fast
1.7741894,-0.42023945,2.566495,Fast
1.559699,0.19720745,-1.17028,Fast
-0.4099059,3.0011168,-4.448047,Fast
-0.50054455,-0.059972763,-1.4442353,Fast
-2.3443825,-0.647871,-0.55148363,Fast
-2.3618965,-2.933371,2.845639,Fast
0.8526772,3.809556,-1.0923903,Fast
0.48146126,-0.97066593,1.2290847,Fast
0.2175923,0.3876009,3.0035298,Fast
1.4700297,0.33258438,-1.0732417,Fast
0.8000307,0.90499306,-3.6652343,Fast
-2.4100442,0.030313492,-1.0063319,Fast
-1.984834,-2.5434895,1.2604871,Fast
-3.8751183,0.38708687,0.81384516,Fast
-0.5215559,0.24504471,-0.32993627,Fast
0.2343833,0.32417965,0.19435334,Fast
-0.31303585,-0.31103516,2.5898213,Fast
-2.3713338,-0.42029476,2.959068,Fast
-0.34963942,0.59959126,-0.15263605,Fast
1.7890569,0.90222454,-2.8633687,Fast
1.673723,0.79763126,-2.517059,Fast
-0.23451853,0.5974326,-0.75349927,Fast
0.13486218,0.8999028,-0.7544346,Fast
0.036528826,-0.13566351,0.8934388,Fast
-0.93487835,-1.5716972,3.2018554,Fast
0.43863583,0.09062481,1.4119332,Fast
-1.3576035,0.35485268,0.49622273,Fast
-0.11639437,-0.22136402,1.9367015,Fast
1.9393561,-0.80114174,1.8939371,Fast
2.673962,1.2506638,-2.5461087,Fast
0.0048696995,2.4277859,-3.696761,Fast
0.15652657,0.564394,-1.450213,Fast
-1.2347138,-0.045148373,-0.7226794,Fast
-0.29235435,-0.55523634,0.28340387,Fast
-0.84209347,0.43549204,-1.5973117,Fast
-0.36014688,1.641285,-0.6074157,Fast
-0.7615824,0.4619031,0.25534868,Fast
0.17356122,-0.35781193,0.68805313,Fast
-0.6349813,-0.11087227,0.8300977,Fast
0.008818328,-0.38974142,0.72202826,Fast
1.2450716,1.4991803,0.46943474,Fast
2.1732407,2.1226315,-2.1010537,Fast
0.6016245,2.259764,-2.8336945,Fast
-2.1179721,-0.16805768,-1.1900234,Fast
-0.7910838,0.15920043,0.19853783,Fast
-0.9773052,0.26096487,3.8407426,Fast
-0.372828,-1.2677732,1.8627143,Fast
0.15739536,-1.8959427,-0.092797756,Fast
0.2370193,-0.65999985,-1.2035103,Fast
0.86072755,1.0742912,-1.340982,Fast
1.0804195,1.7385871,-0.8761687,Fast
0.97794056,1.7320583,0.5481663,Fast
0.64229536,-0.04043305,1.3395414,Fast
-0.17081165,-0.54795456,0.5626564,Fast
1.1601133,-0.34260058,0.55450535,Fast
-1.1160302,-1.595874,0.79997635,Fast
-1.4438543,0.033730984,-0.76917124,Fast
-1.3975234,-0.6396446,-0.26338005,Fast
-2.1278658,-1.0599477,-0.23114872,Fast
-0.40448332,-0.32038927,0.13320923,Fast
0.48825884,0.07989788,-0.19348145,Fast
0.5099869,0.23386335,-0.59126663,Fast
-0.06124592,-0.45654082,0.5709429,Fast
-1.9127378,-2.0887346,1.929266,Fast
-0.42509604,-2.8500154,1.939651,Fast
-0.068566084,-3.2821894,2.183113,Fast
0.4161023,-1.4067836,0.942173,Fast
1.4118537,-0.1152606,-2.544472,Fast
0.56571007,1.5100646,-2.3441415,Fast
1.1638283,2.7091432,-1.124588,Fast
0.34299326,1.5734138,-0.027008057,Fast
0.3232653,1.5399003,0.20488071,Fast
-0.7844267,0.10683775,-0.30703163,Fast
-0.7421658,-0.8129976,-0.54594135,Fast
-0.41254187,-0.0083146095,0.5091944,Fast
-0.3815267,-0.019839287,0.8729696,Fast
0.9779482,-0.13364601,0.052122116,Fast
-0.113096476,-0.55650973,-0.056729317,Fast
0.31193495,-0.73607326,0.22409773,Fast
-0.6980853,-2.4739904,3.434514,Fast
-1.6071844,-1.1851602,1.6677017,Fast
0.1429205,-1.2681093,-0.53259706,Fast
1.5150473,-0.39566135,-0.3327303,Fast
1.228131,1.1307969,-1.1347938,Fast
-0.6625557,1.3889732,-1.0132489,Fast
-0.7417898,-0.26887846,0.65540457,Fast
0.21184874,0.15220547,0.15031338,Fast
0.30443525,0.26333618,0.14996862,Fast
0.3175807,0.053572178,0.49645805,Fast
-0.28011274,0.5765133,-0.5020118,Fast
0.0348258,0.9709487,-0.888082,Fast
-0.051552773,0.83930874,0.13363266,Fast
-0.39492035,0.44622564,2.0594835,Fast
-0.39445686,-0.106013775,2.7947044,Fast
0.66555333,-1.5008287,1.3641596,Fast
-0.65895367,-2.6255283,-2.2380567,Fast
-0.38122034,-0.12966204,-2.1694872,Fast
-0.8497939,0.4229474,-1.3996263,Fast
-0.20915318,1.5482497,-0.6167841,Fast
-0.25133538,2.4761074,-0.99154663,Fast
-0.6649792,2.7312884,-0.5208092,Fast
-0.37315083,1.5872538,0.05132103,Fast
0.44519687,-1.043988,-0.2183876,Fast
-0.048281193,-1.041091,0.37711525,Fast
-0.2323637,-1.6327138,1.1677237,Fast
-0.7397895,-0.7013215,0.74479485,Fast
-1.2492335,-0.45956767,-0.66444683,Fast
-1.3298274,-0.4747908,-0.47599792,Fast
-0.64153063,-0.3752457,-0.2226162,Fast
-0.7753223,0.66310585,-0.8250656,Fast
0.6799449,-0.17587948,-0.3530922,Fast
-0.4701627,-2.2336364,4.2002296,Fast
1.4577417,-1.8058729,-0.3762102,Fast
0.91701627,-2.0673072,1.2550611,Fast
1.254978,-0.3012104,-0.85258675,Fast
-0.30705655,0.6880069,-1.4308643,Fast
-0.6074383,0.65984106,0.30008698,Fast
-0.16352367,-0.02152586,-0.13900566,Fast
1.0088528,-0.124402046,-0.07479,Fast
-0.6330786,0.3846197,0.4556284,Fast
-0.4434451,0.4311247,-0.69382715,Fast
0.68580496,0.64073515,-0.61795425,Fast
1.2967522,0.28338718,1.0811973,Fast
-0.4397838,-1.2245255,3.1119514,Fast
1.8229731,-7.7280846,2.389175,Fast
1.6645384,-10.727409,-2.672763,Fast
5.6782613,-3.7419624,-6.5264697,Fast
-5.548107,16.562979,6.2266607,Fast
-1.8515866,2.782938,9.787982,Fast
0.94564795,-7.421855,1.216229,Fast
-2.0049193,-0.5910435,3.738184,Fast
0.21140099,0.8573227,4.4654584,Fast
